id,nombre,tipo,parent_id,created_at,updated_at,custom_name,created_by,parent_estructura_id
2,Empresa,Empresa,,2025-01-23 13:34:40.35517+00,2025-01-23 13:34:40.35517+00,LGS,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,3
3,Organizaciones,Organizaciones,,2025-01-28 13:20:55.98301+00,2025-01-28 13:20:55.98301+00,Organización Prueba,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,
4,Empresa,Empresa,,2025-02-04 03:06:46.92565+00,2025-02-04 03:06:46.92565+00,Mosaico,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,19
5,Chile,Paises,,2025-02-04 03:23:18.201008+00,2025-02-04 03:23:18.201008+00,Chile,,3
7,Colombia,Paises,,2025-02-04 04:02:06.688+00,2025-02-04 04:02:06.688+00,Colombia,,4
9,Paises,Paises,,2025-02-13 18:36:06.799087+00,2025-02-13 18:36:06.799087+00,Ecuador,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,2
10,Paises,Paises,,2025-02-13 18:36:28.694348+00,2025-02-13 18:36:28.694348+00,Peru,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,2
11,Organizaciones,Organizaciones,,2025-02-13 18:37:35.605634+00,2025-02-13 18:37:35.605634+00,Celtas,4ce04130-d2b9-4003-9ee7-0f2d3e6c204c,19
13,Organizaciones,Organizaciones,,2025-02-14 14:21:05.045764+00,2025-02-14 14:21:05.045764+00,ESPARTANOS,a5061dce-7663-482e-9ab1-d6ef078de9b7,18
18,OLIMPO,Filial,,2025-02-20 14:03:32.853599+00,2025-02-20 14:03:32.853599+00,,,13
19,PITAGORAS,Filial,,2025-02-20 14:04:14.103572+00,2025-02-20 14:04:14.103572+00,,,
